procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 168844 220088336  32708 33410380    4    4   675  1486    0    0 23  4 69  4  0
 1 42 168844 219593152  33684 33419144    0    0 268616 103396 74072 133143  4  2 75 20  0
 0 45 168844 219303584  34436 33421652    0    0 259764 208996 80936 151830  5  2 60 33  0
 9 40 168844 219026928  35136 33424424    0    0 245720 224388 80292 148641  5  2 59 34  0
 5 43 168844 218732320  35904 33427308    0    0 260424 207288 84285 162587  7  2 58 34  0
 0 44 168844 218474896  36616 33430520    0    0 236228 232000 79201 157959  5  2 58 35  0
 0 42 168844 218214880  37324 33433740    0    0 240328 231120 84923 167843  5  2 59 35  0
 0 43 168844 217921264  38088 33438112    0    0 251956 213144 85976 170300  6  2 58 34  0
 7 42 168844 217649696  38792 33441760    0    0 235732 236464 86349 174751  7  2 57 34  0
 5 37 168844 217373680  39560 33445648    0    0 243288 225808 90401 181977  6  2 59 33  0
 3 31 168844 217103728  40324 33448936    0    0 241656 224020 88932 180152  6  2 58 33  0
 5 38 168844 216785056  41232 33453756    0    0 293732 169180 114153 234888  7  3 58 33  0
 9 32 168844 216339152  42504 33460676    0    0 408432 45720 151591 311991 10  3 55 32  0
12 38 168844 215899168  43760 33467836    0    0 404464 50184 161286 333533 11  3 53 32  0
 6 39 168844 215451088  45048 33475564    0    0 408240 42460 163950 337791 11  4 54 31  0
12 33 168844 215017344  46320 33483708    0    0 395168 58444 166670 346391 11  4 53 32  0
 6 27 168844 214583344  47620 33491844    0    0 392356 61476 171986 356094 11  4 54 31  0
 2 38 168844 214143760  48944 33501232    0    0 395584 56212 183895 382865 11  4 52 32  0
14 35 168844 213694512  50308 33510176    0    0 407536 43004 187525 390582 12  4 52 32  0
12 36 168844 213259904  51616 33519724    0    0 390128 62784 183025 380500 12  4 51 32  0
14 32 168844 212839936  52920 33529548    0    0 374068 79708 189829 394043 13  4 51 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
10 30 168844 212392528  54348 33540716    0    0 398256 52332 211012 438923 15  4 49 32  0
 7 35 168844 211950976  55800 33552156    0    0 395008 53128 235037 471227 16  5 47 32  0
13 34 168844 211507168  57324 33564236    0    0 394096 53124 247970 488780 17  5 46 32  0
20 24 168844 211065488  58860 33576580    0    0 393504 53524 235006 486866 17  5 46 32  0
 8 31 168844 210621440  60448 33589880    0    0 394308 53916 249390 520279 18  5 44 33  0
 4 36 168844 210182960  62028 33603672    0    0 389296 56896 247851 517428 18  5 44 33  0
