procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 168844 220360096  32716 33410864    4    4   678  1498    0    0 23  4 69  4  0
 3 46 168844 219874768  33804 33417964    0    0 264320 94048 70034 126325  3  2 75 20  0
 6 43 168844 219581632  34568 33418452    0    0 270148 194996 80678 150517  4  2 60 34  0
 0 39 168844 219298784  35296 33418572    0    0 254664 214592 82769 155090  4  2 60 34  0
 5 44 168844 219024624  36016 33418516    0    0 250516 221096 83795 161400  5  2 59 34  0
 3 47 168844 218745248  36772 33418452    0    0 256152 212160 89735 175716  6  2 57 35  0
14 39 168844 218480512  37512 33418260    0    0 248200 220004 81569 161304  5  2 59 34  0
 0 48 168844 218199520  38284 33418324    0    0 264468 201936 89306 180180  6  2 59 34  0
 9 35 168844 217929088  39052 33418300    0    0 255512 211412 92792 188596  5  2 60 33  0
 2 48 168844 217667200  39760 33418344    0    0 240020 230016 88327 179098  6  2 57 35  0
 0 45 168844 217415472  40476 33418404    0    0 238200 232016 86469 177030  7  2 57 34  0
18 36 168844 217122592  41316 33418420    0    0 273780 191828 105767 217813  7  2 56 34  0
 1 37 168844 216669488  42576 33418420    0    0 425844 28220 160868 330374 10  3 54 32  0
 4 43 168844 216243424  43792 33418424    0    0 393856 61412 159834 330222 10  3 54 33  0
 5 34 168844 215797184  45088 33417996    0    0 408496 43144 168186 347560 11  4 54 32  0
 6 38 168844 215376448  46308 33417984    0    0 388688 65772 166740 343977 11  3 53 32  0
19 30 168844 214958720  47580 33417968    0    0 384256 70004 169657 351963 11  4 54 32  0
14 29 168844 214530656  48896 33418020    0    0 393796 58328 184648 377129 11  3 53 32  0
 3 37 168844 214114144  50128 33417980    0    0 384800 69552 183872 365675 11  4 52 33  0
11 34 168844 213686464  51440 33417884    0    0 397216 55836 197484 393769 13  4 52 32  0
11 34 168844 213241056  52800 33418024    0    0 400800 51476 210075 417618 14  4 50 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
16 32 168844 212836704  54096 33418024    0    0 380532 73156 195004 397255 12  4 50 33  0
13 35 168844 212397248  55520 33418172    0    0 394160 54292 219770 458405 14  4 49 32  0
11 28 168844 211994240  56876 33418132    0    0 378256 74964 214350 447068 14  5 48 33  0
12 36 168844 211563840  58324 33418344    0    0 385680 60016 220403 460161 15  4 49 32  0
14 35 168844 211137456  59832 33417828    0    0 395536 52724 244932 509638 17  6 45 32  0
14 23 168844 210710640  61328 33418012    0    0 384388 64288 245177 512165 17  5 45 33  0
18 29 168844 210295984  62856 33418120    0    0 382480 65472 252879 529745 17  5 45 33  0
13 37 168844 209877488  64428 33418284    0    0 382224 64976 256402 536766 18  5 44 33  0
13 26 168844 209473248  66056 33418312    0    0 372320 73960 279699 586095 19  6 43 32  0
16 25 168844 209047808  67772 33418484    0    0 383840 58420 285908 599191 20  6 41 32  0
25 21 168844 208640704  69520 33418704    0    0 374964 66828 304652 641580 21  6 40 32  0
11 29 168844 208210064  71288 33418880    0    0 388416 54104 308527 648039 22  6 40 32  0
11 22 168844 207809792  73056 33419044    0    0 370816 68372 304015 639514 21  6 40 32  0
19 25 168844 207410144  74808 33419224    0    0 360896 78396 310492 655741 22  6 40 32  0
22 26 168844 207001440  76640 33419392    0    0 377664 58996 330088 696504 24  7 38 32  0
