procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 205072 223549344  31652 33475084    2    2   508  1192    0    0 16  3 79  3  0
 5 37 205072 223084576  32144 33483904    0    0 265725 93038 66962 120235  3  1 77 19  0
 5 36 205072 222810528  32144 33485884    0    0 249424 209303 78793 139885  4  2 62 32  0
 4 44 205072 222522720  32144 33489056    0    0 252432 210651 80385 145961  4  2 62 33  0
 7 37 205072 222261696  32144 33491748    0    0 241408 219569 79067 152381  4  2 63 31  0
 0 36 205072 221994368  32144 33495276    0    0 234720 234792 77842 153707  4  2 62 32  0
 0 34 205072 221744864  32152 33498328    0    0 236208 226910 79435 160806  5  2 62 32  0
 3 33 205072 221483968  32152 33501524    0    0 236032 224954 80274 160604  4  1 62 32  0
23 32 205072 221246144  32152 33504708    0    0 225184 240672 78924 159596  5  2 62 32  0
 0 36 205072 220999504  32152 33508372    0    0 214688 246596 74177 151576  4  2 62 32  0
10 43 205072 220733504  32152 33511852    0    0 251360 208544 85825 176320  5  2 62 31  0
 6 37 205072 220405632  32160 33516584    0    0 298816 154272 110610 229299  6  2 59 32  0
 9 28 205072 219987616  32160 33523064    0    0 385776 54622 136488 282211  8  3 58 31  0
 8 30 205072 219582144  32160 33530280    0    0 370944 70133 149000 307811  9  3 57 31  0
 7 35 205072 219150752  32160 33536896    0    0 401616 39844 156601 323978 10  3 57 30  0
11 25 205072 218727280  32160 33544928    0    0 379008 61698 160593 333999 10  4 55 32  0
11 32 205072 218320448  32160 33552560    0    0 369840 72937 155723 321500 10  3 55 31  0
 0  0 205072 217915456  32168 33559916    0    0 369392 44150 148724 309235 10  3 58 30  0
 0  0 205072 217818496  32168 33562972    0    0 112656 30084 52286 108350  3  1 85 11  0
 0  0 205072 217744096  32168 33565392    0    0 117344 30564 57304 119051  3  1 85 10  0
 0  0 205072 217682592  32168 33568632    0    0 132368 44727 67266 138953  4  1 82 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
