procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 168844 219210688  31032 33432836    3    4   687  1584    0    0 23  4 69  4  0
 3 43 168844 218750096  31384 33438460    0    0 252585 105102 71385 126068  4  2 73 21  0
 1 43 168844 218446176  31384 33442428    0    0 263904 204559 76839 141770  4  2 59 35  0
 9 44 168844 218154448  31384 33445316    0    0 264304 200956 86873 168503  5  2 59 33  0
 0 42 168844 217870368  31384 33448388    0    0 248528 219264 85219 160397  6  2 58 34  0
 1 47 168844 217582816  31384 33451740    0    0 267520 199234 86667 169861  5  2 59 34  0
10 40 168844 217331696  31392 33454852    0    0 232128 230715 78658 156267  6  2 58 35  0
 6 39 168844 217066080  31392 33458012    0    0 245392 222922 82365 167053  5  2 59 34  0
10 38 168844 216795376  31392 33462024    0    0 245232 219589 86017 175603  6  2 58 35  0
 6 37 168844 216538704  31392 33465124    0    0 238960 227050 90408 183181  6  2 57 35  0
 0 49 168844 216278544  31392 33469380    0    0 235904 231407 86210 172368  6  2 56 36  0
 2 49 168844 215952544  31400 33473952    0    0 304080 155146 110121 224606  8  2 56 34  0
13 37 168844 215507392  31400 33480944    0    0 398672 53625 149914 309727  9  3 56 32  0
 0 37 168844 215082320  31400 33488124    0    0 393552 59694 152473 314636 10  3 54 32  0
10 38 168844 214632064  31400 33495952    0    0 409056 41384 163162 339534 10  4 55 32  0
 2 40 168844 214212320  31400 33502920    0    0 388880 64582 155899 320849 10  3 55 32  0
 7 46 168844 213769904  31400 33511364    0    0 396432 55361 174876 358722 12  4 52 33  0
14 38 168844 213338256  31408 33519772    0    0 397632 52796 191295 380356 12  4 51 33  0
10 33 168844 212904512  31408 33528024    0    0 390048 60737 186636 370487 12  4 52 32  0
13 39 168844 212475216  31408 33537324    0    0 389424 60898 200633 399286 12  4 51 32  0
10 39 168844 212045312  31408 33547436    0    0 383504 68901 200877 405329 13  4 50 33  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13 34 168844 211603376  31408 33557988    0    0 398960 50607 207594 432703 15  4 49 32  0
10 32 168844 211165520  31416 33569264    0    0 388992 62230 212107 442780 15  4 48 33  0
16 22 168844 210725072  31416 33580968    0    0 398416 50874 217496 453361 16  5 49 31  0
12 35 168844 210277424  31416 33593168    0    0 394736 55263 235925 494387 17  5 46 32  0
16 31 168844 209835360  31416 33605936    0    0 399328 47888 232483 486948 17  5 46 32  0
25 28 168844 209409280  31416 33619048    0    0 372656 71330 233633 487968 17  5 45 32  0
23 22 168844 208980096  31416 33631884    0    0 382848 63506 256942 539223 19  5 43 33  0
 6 22 168844 208556880  31424 33647252    0    0 373888 71474 262377 548454 19  5 43 32  0
17 26 168844 208132784  31424 33661256    0    0 380064 64098 263300 552611 20  6 42 32  0
21 19 168844 207638592  31424 33680080    0    0 400492 37469 300878 627978 24  6 38 32  0
 0 33 168844 207206064  31424 33696448    0    0 386592 54260 296686 623770 23  6 39 32  0
22 24 168844 206774880  31424 33713076    0    0 377872 62127 295458 622827 22  6 39 32  0
25 25 168844 206356800  31432 33731000    0    0 368464 69890 312259 657985 24  6 38 31  0
18 16 168844 205930944  31432 33749124    0    0 374368 58714 320553 677388 25  7 37 31  0
19 28 168844 205520960  31432 33768884    0    0 363184 70251 317661 667434 25  7 37 31  0
 9 28 168844 205082240  31432 33789128    0    0 380640 50188 349667 740025 29  7 34 30  0
22 22 168844 204665680  31432 33809696    0    0 368560 59432 352245 747434 28  7 36 29  0
27 18 168844 204234544  31432 33831164    0    0 375840 49623 369070 781074 30  8 35 28  0
24 28 168844 203813040  31440 33853332    0    0 370240 53276 382315 812976 30  8 34 28  0
20 19 168844 203405984  31440 33874344    0    0 359568 64527 366366 774812 29  8 35 28  0
11 31 168844 202993376  31440 33897536    0    0 359728 61393 387287 826201 32  8 33 27  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
28 22 168844 202702960  31440 33913068    0    0 244880 190937 268772 572114 22  5 45 27  0
33 19 168844 202358192  31440 33933268    0    0 304224 121019 341905 730609 28  7 39 26  0
24 21 168844 202008288  31448 33952508    0    0 303968 120709 340421 725321 27  7 39 26  0
24 15 168844 201668816  31448 33972120    0    0 299520 128465 334464 713499 26  7 39 28  0
25 17 168844 201326912  31448 33992676    0    0 295216 128908 334807 713439 27  7 40 26  0
 1  4 168844 201093472  31448 34007524    0    0 197504 272205 231764 494261 18  5 59 18  0
 0 35 168844 201089504  31448 34007796    0    0  4960 458577 24788 49913  1  0 94  5  0
21 20 168844 200777728  31448 34025576    0    0 274816 143417 330643 713042 28  7 39 25  0
38 11 168844 200442768  31456 34046032    0    0 301776 117061 361503 777304 30  8 37 25  0
29 16 168844 200096320  31456 34068072    0    0 298672 120661 362190 775797 29  8 37 25  0
29 14 168844 199756544  31456 34088660    0    0 300672 118102 362550 779515 30  8 37 25  0
23 23 168844 199411632  31456 34111844    0    0 297040 122322 360592 774138 30  8 38 24  0
30 17 168844 199078512  31456 34132864    0    0 297744 116397 371073 794876 30  8 37 25  0
27 17 168844 198741136  31464 34155356    0    0 291968 121645 369287 793721 31  8 38 23  0
30 11 168844 198413040  31464 34177024    0    0 293952 118220 390001 845625 33  9 35 23  0
29 21 168844 198071664  31464 34200304    0    0 292704 122159 378872 813949 32  8 36 24  0
20 18 168844 197734592  31464 34222864    0    0 301664 110168 383269 830018 33  8 37 22  0
19 18 168844 197395872  31464 34246604    0    0 289440 122456 374609 807885 32  8 38 22  0
27 16 168844 197069472  31464 34268332    0    0 294688 114631 391857 840513 32  9 37 22  0
21 12 168844 196734496  31472 34292180    0    0 289168 122079 400669 828830 33  9 36 23  0
23 16 168844 196407744  31472 34315528    0    0 291056 118696 405765 845871 34  9 36 22  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
27 18 168844 196069664  31472 34338492    0    0 290304 118655 402093 842902 34  9 36 22  0
38 13 168844 195739328  31472 34362268    0    0 290672 118130 381860 825037 33  9 36 22  0
43  8 168844 195402656  31492 34386592    0    0 292812 118334 382703 825954 33  8 36 23  0
29 21 168844 195136304  31500 34406000    0    0 235120 189889 312821 679523 26  7 45 22  0
32 18 168844 194809632  31500 34430116    0    0 285840 118943 399886 868950 34  9 37 19  0
44  5 168844 194481728  31500 34454472    0    0 289472 114752 401276 872920 34  9 36 21  0
33 16 168844 194147808  31504 34480404    0    0 291544 111535 395720 865301 35  9 36 20  0
32 11 168844 193828000  31504 34504956    0    0 280080 127589 390702 850040 34  9 37 21  0
 0  5 168844 193651344  31504 34518916    0    0 144496 324717 209260 454804 19  4 66 11  0
31 14 168844 193602816  31512 34520032    0    0 66176 382789 94092 200288  6  2 81 11  0
44  9 168844 193264080  31512 34545884    0    0 279408 124938 396143 861748 34  9 37 19  0
27 23 168844 192960032  31512 34569536    0    0 274896 128970 394229 865101 35  9 37 19  0
26 14 168844 192638656  31512 34594976    0    0 271248 133234 386910 848325 34  9 37 20  0
35 11 168844 192339824  31512 34617956    0    0 271776 125246 396642 880195 36  9 36 19  0
 0  6 168844 192051248  31520 34639932    0    0 241440 192575 341518 744437 30  8 44 17  0
36 12 168844 191816192  31520 34658772    0    0 215408 183342 314240 690695 27  7 48 17  0
39 10 168844 191499680  31520 34683980    0    0 269136 129487 397781 869344 35  9 37 19  0
36  9 168844 191202320  31520 34708284    0    0 265488 129979 391432 866272 35  9 37 19  0
36  9 168844 190889504  31520 34733032    0    0 268768 126110 404722 900056 37  9 35 19  0
42 16 168844 190587904  31528 34757812    0    0 266000 133280 396121 870454 35  9 37 19  0
41  6 168844 190281280  31528 34782592    0    0 266096 129579 398106 882846 36  9 37 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
41 13 168844 189977664  31528 34808056    0    0 266464 125953 404178 900174 37 10 35 18  0
42  7 168844 189674304  31528 34832700    0    0 265776 130292 395828 883397 36 10 36 19  0
54  6 168844 189372480  31528 34858380    0    0 262288 130951 401054 899392 38  9 36 17  0
33 12 168844 189076864  31536 34884136    0    0 255760 127437 405626 918364 38 10 35 17  0
45  7 168844 188831904  31536 34906336    0    0 213216 189106 342713 773560 32  8 44 16  0
39 10 168844 188534944  31536 34932188    0    0 256416 131167 402965 908105 38 10 35 16  0
58  1 168844 188225344  31536 34958496    0    0 255104 131017 410579 926006 40 10 35 15  0
31 15 168844 187928288  31536 34983780    0    0 259696 130500 401464 898768 37 10 35 18  0
36 12 168844 187631936  31536 35009284    0    0 257936 134739 399837 902536 38 10 34 19  0
34 19 168844 187336256  31544 35035796    0    0 258432 128315 414809 933995 39 10 34 17  0
38 13 168844 187040096  31544 35061688    0    0 256880 135199 403325 902793 38 10 36 17  0
37  9 168844 186743168  31544 35087568    0    0 258656 127449 403671 912148 38 10 35 17  0
35 10 168844 186461248  31544 35114704    0    0 242656 132613 409057 946155 41 11 34 15  0
44 14 168844 186177088  31544 35140184    0    0 244800 132598 404506 930575 40 10 36 14  0
