procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 168844 218213680  31488 33432620    4    4   687  1567    0    0 23  4 69  4  0
 0 45 168844 217739408  31696 33438460    0    0 254197 126773 72124 129308  4  2 71 24  0
 5 47 168844 217461280  31696 33438340    0    0 254320 208633 82371 152410  5  2 58 36  0
 0 48 168844 217175952  31696 33438212    0    0 252816 210850 80778 151901  5  2 59 35  0
 2 42 168844 216906752  31696 33438180    0    0 254448 213044 88825 173192  5  2 59 34  0
 4 45 168844 216624656  31696 33438168    0    0 254176 206096 84708 166128  6  2 58 34  0
 5 40 168844 216379984  31704 33438184    0    0 233376 238029 83204 164624  5  2 58 36  0
 4 37 168844 216114752  31704 33438184    0    0 243616 223634 82578 167919  5  2 58 34  0
 1 49 168844 215857952  31704 33438184    0    0 243776 222875 88890 181755  5  2 59 34  0
 0 48 168844 215589360  31704 33438184    0    0 243312 224995 86948 176507  6  2 59 34  0
17 34 168844 215357232  31704 33438184    0    0 219696 239896 87721 179959  6  2 57 35  0
 9 35 168844 215015120  31712 33438184    0    0 316496 141287 125528 260239  7  3 56 35  0
 6 42 168844 214587568  31712 33438184    0    0 405456 44910 162271 334537 10  3 55 32  0
 0 44 168844 214137824  31712 33438184    0    0 415664 35937 164293 339651 10  4 54 32  0
 9 38 168844 213714112  31712 33438184    0    0 395680 54914 174684 362837 10  3 53 33  0
 6 39 168844 213266592  31712 33438184    0    0 416096 33482 179102 371371 11  4 53 32  0
 4 42 168844 212855904  31712 33438184    0    0 381856 70218 182548 379100 11  4 52 33  0
10 35 168844 212425632  31720 33438168    0    0 390944 58295 189355 393628 13  4 51 32  0
14 35 168844 211987056  31720 33438168    0    0 410864 38980 195156 405604 13  5 50 32  0
13 43 168844 211572640  31720 33438168    0    0 379952 70953 201205 419271 14  5 49 33  0
 9 34 168844 211131200  31720 33438168    0    0 406048 42937 214965 448204 15  4 49 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14 31 168844 210691392  31720 33438144    0    0 402240 48251 218529 456402 14  5 49 32  0
14 33 168844 210271408  31728 33438144    0    0 387136 60686 219036 455676 15  5 48 33  0
11 31 168844 209821408  31728 33438144    0    0 412288 36339 245930 514950 16  5 47 32  0
14 24 168844 209387792  31728 33438144    0    0 398816 48809 243877 511753 16  5 47 32  0
10 34 168844 208973248  31728 33438144    0    0 382928 65802 242515 507187 17  5 45 32  0
16 32 168844 208541984  31728 33438144    0    0 394448 49635 262403 549932 19  6 44 32  0
21 19 168844 208129200  31728 33438136    0    0 378736 65628 261229 548341 19  5 43 32  0
17 24 168844 207701760  31736 33438136    0    0 391504 50472 292401 614517 20  6 42 32  0
21 20 168844 207273840  31736 33438136    0    0 390352 51581 297826 624923 21  6 41 32  0
18 24 168844 206844064  31736 33438136    0    0 392416 46817 302605 637301 21  6 40 33  0
 3 37 168844 206372736  31736 33439324    0    0 389520 51356 322239 670179 23  7 38 32  0
26 19 168844 205956752  31736 33439960    0    0 374224 67185 322554 680383 23  6 38 32  0
15 22 168844 205548176  31744 33439044    0    0 379968 59265 323592 681858 23  7 38 32  0
21 21 168844 205142560  31744 33439044    0    0 368832 68320 339567 717434 25  7 37 31  0
25 29 168844 204721584  31744 33439044    0    0 392048 40976 367044 776122 27  7 35 30  0
14 31 168844 204305568  31744 33439044    0    0 376624 53017 371012 785747 28  8 34 30  0
27 26 168844 203898848  31744 33439044    0    0 379728 47769 378487 803335 28  8 34 30  0
28 21 168844 203474144  31744 33439044    0    0 387152 38492 400917 852242 31  8 33 28  0
26 21 168844 203144064  31752 33439048    0    0 305088 127068 334843 712849 25  7 38 29  0
39 14 168844 202803392  31752 33439084    0    0 304240 130485 329416 702849 24  7 39 30  0
27 22 168844 202530208  31752 33439092    0    0 257200 181594 284826 605948 21  6 43 30  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20 25 168844 202199296  31752 33439092    0    0 304384 127519 345168 736984 26  7 38 29  0
33 15 168844 201890992  31752 33439124    0    0 291264 143018 324969 692667 25  7 40 29  0
36 13 168844 201552576  31760 33439188    0    0 306672 123066 355970 759463 27  7 38 27  0
 9 20 168844 201223984  31760 33439188    0    0 308400 118857 362790 773905 27  8 39 27  0
19 28 168844 200894896  31760 33439184    0    0 306032 123027 359091 766542 27  8 38 26  0
 5 30 168844 200563696  31760 33439204    0    0 308976 111056 394495 845760 31  8 36 25  0
16 17 168844 200239296  31760 33439264    0    0 297584 124821 368531 791050 29  8 37 27  0
36 20 168844 199921952  31760 33439304    0    0 305376 115703 388730 820984 30  8 37 26  0
20 20 168844 199587152  31768 33439320    0    0 302128 116031 401249 822329 30  8 36 26  0
12 28 168844 199271936  31768 33439252    0    0 301968 119775 400361 820058 30  9 36 25  0
33 13 168844 198939856  31768 33439268    0    0 307200 112321 416513 850266 31  9 35 25  0
26 20 168844 198636272  31768 33439172    0    0 293744 128015 375679 806779 30  8 37 26  0
32 15 168844 198313248  31768 33439172    0    0 293776 119932 392631 847855 31  8 36 25  0
16 17 168844 198001344  31776 33439140    0    0 302640 112479 401977 867675 32  8 35 24  0
37 13 168844 197665920  31776 33439096    0    0 305936 112369 398697 862203 32  8 36 24  0
27 13 168844 197356208  31776 33439064    0    0 297408 116268 404091 873835 33  9 35 23  0
32 15 168844 197034304  31776 33439064    0    0 298272 108830 419149 911566 33  9 35 23  0
22 14 168844 196728512  31776 33438992    0    0 288720 120924 417111 906038 33  9 35 23  0
31 14 168844 196425120  31776 33438972    0    0 285152 124946 412288 894439 33  9 34 23  0
37 13 168844 196122176  31784 33438972    0    0 286400 118391 417615 910008 34  9 34 22  0
28 14 168844 195810720  31784 33438952    0    0 293424 117628 415258 902104 33  9 34 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
40 18 168844 195559968  31784 33438976    0    0 238384 176221 359012 789329 29  8 43 20  0
37 16 168844 195247936  31784 33438912    0    0 290400 114339 419872 919082 35  9 35 21  0
34 18 168844 194951824  31784 33438920    0    0 282320 125883 415323 909723 35  9 35 22  0
34 18 168844 194650480  31792 33438944    0    0 285808 113788 436985 958770 36 10 34 20  0
39 13 168844 194351120  31792 33438968    0    0 283088 114143 427653 945120 37 10 33 21  0
29 17 168844 194046560  31792 33438984    0    0 285712 117678 431214 956039 36 10 34 21  0
27 16 168844 193756576  31792 33438932    0    0 279984 130819 402585 881897 33  9 36 22  0
29 14 168844 193462736  31792 33438804    0    0 274560 131443 405263 886637 33  9 36 22  0
34 11 168844 193174928  31792 33438828    0    0 276256 127065 409916 898448 34 10 34 22  0
28 15 168844 192881056  31800 33438832    0    0 277344 127761 410233 900581 34 10 36 21  0
43 13 168844 192594416  31800 33438776    0    0 277248 128032 418747 918892 34 10 35 21  0
35 14 168844 192295264  31800 33438848    0    0 279664 124266 425859 943658 36 10 34 20  0
28 16 168844 192006416  31800 33438896    0    0 279840 123940 418773 920073 35  9 35 21  0
38 20 168844 191709696  31800 33438888    0    0 276272 127904 423653 937939 36 10 34 21  0
39 12 168844 191436848  31808 33438952    0    0 266752 140292 411271 908940 35 10 35 21  0
31 15 168844 191141520  31808 33438916    0    0 276592 124408 430250 956215 36 10 34 19  0
44 12 168844 190857376  31808 33438856    0    0 273312 128357 419455 932708 36 10 36 18  0
34 16 168844 190563648  31808 33438824    0    0 277040 124436 421797 933215 35 10 35 20  0
39 12 168844 190278688  31808 33438864    0    0 271840 128508 425674 951848 36 10 35 18  0
42  7 168844 189996624  31808 33438832    0    0 269040 128819 422713 950106 37 10 35 18  0
36 13 168844 189710944  31816 33438820    0    0 271824 125088 430299 962912 38 10 34 18  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
32 14 168844 189474608  31816 33438820    0    0 226592 188166 358762 799654 31  9 44 17  0
30 12 168844 189194848  31816 33438836    0    0 266896 132263 416676 933587 35 10 34 21  0
45 10 168844 188916512  31816 33438920    0    0 264752 129022 427626 971759 38 11 33 18  0
34 13 168844 188640096  31816 33438952    0    0 267328 129250 423291 955615 38 10 35 17  0
44  9 168844 188353376  31824 33438872    0    0 268576 125554 435189 986743 38 10 34 17  0
36 15 168844 188075888  31824 33438852    0    0 268416 126021 427615 967715 38 11 33 18  0
50  9 168844 187797264  31824 33438844    0    0 261056 134192 418274 945508 37 10 34 19  0
34 11 168844 187515040  31824 33438828    0    0 260544 133824 423970 961924 38 11 33 18  0
41 11 168844 187242272  31824 33438804    0    0 263600 126029 435353 993610 40 11 33 16  0
44 14 168844 186969824  31832 33437984    0    0 257744 134605 427126 967024 39 11 32 17  0
40 10 168844 186697152  31832 33438012    0    0 262016 126391 455009 992556 39 10 35 16  0
41 11 168844 186426448  31832 33438028    0    0 258592 130438 455020 999272 40 11 33 16  0
33 14 168844 186151184  31832 33438004    0    0 264272 126573 429043 978719 39 11 34 16  0
38  9 168844 185878240  31832 33438020    0    0 256608 130712 427218 988884 40 11 32 17  0
50  9 168844 185611040  31832 33438032    0    0 258368 126907 432578 996260 40 11 33 16  0
38 12 168844 185344352  31840 33437984    0    0 249808 136891 415558 954388 38 11 35 16  0
48  9 168844 185086304  31840 33437892    0    0 250128 136559 421925 977532 39 10 33 18  0
36 12 168844 184829120  31840 33437832    0    0 242624 148782 409986 950270 39 10 34 17  0
49  9 168844 184569024  31840 33437804    0    0 246816 140364 413240 961290 38 11 34 17  0
45  8 168844 184307168  31840 33437884    0    0 247296 137547 412877 968922 40 10 34 15  0
34 10 168844 184095040  31848 33437860    0    0 204800 199719 352897 829559 34  9 43 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
53  9 168844 183841056  31848 33437876    0    0 241456 140958 418636 984413 40 11 32 17  0
54  7 168844 183583056  31848 33437716    0    0 245568 136665 420437 990972 40 11 34 14  0
38 10 168844 183326784  31848 33437676    0    0 243072 141136 414015 979606 41 11 32 16  0
39 14 168844 183075824  31848 33437684    0    0 239568 137814 414824 993252 42 11 33 15  0
48  3 168844 182824000  31848 33437604    0    0 237808 137989 411886 979343 41 11 34 14  0
44 11 168844 182570016  31856 33437436    0    0 239456 138593 412349 984577 42 11 33 14  0
46  9 168844 182330016  31856 33437356    0    0 238112 138330 415515 998973 42 11 32 15  0
46  8 168844 182077632  31856 33437396    0    0 231920 142261 405232 989998 42 11 33 14  0
51  7 168844 181843936  31856 33437468    0    0 230576 142970 403602 985171 42 11 34 13  0
