procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3 205072 226655744  31588 33475520    2    2   495  1175    0    0 16  3 79  3  0
 1 48 205072 226196736  32080 33483288    0    0 254921 102689 66663 117955  3  2 77 19  0
13 43 205072 225892576  32080 33483128    0    0 275280 187246 83528 152076  4  2 60 34  0
 0 51 205072 225607248  32080 33482984    0    0 259792 206585 84151 158915  4  2 60 34  0
 6 34 205072 225327008  32080 33482936    0    0 256192 212737 80324 157572  4  2 59 35  0
 2 42 205072 225081488  32080 33482936    0    0 245312 221289 77737 154918  4  2 58 36  0
 5 46 205072 224809184  32088 33482936    0    0 252896 211602 80323 159534  4  2 59 35  0
14 38 205072 224527824  32088 33482936    0    0 252336 212653 84351 167359  4  2 60 34  0
 3 46 205072 224266432  32088 33482936    0    0 245056 223503 82196 167100  4  2 59 35  0
 1 48 205072 223996240  32088 33482936    0    0 254064 215281 85233 174260  4  2 59 35  0
 4 41 205072 223737440  32088 33482936    0    0 243584 225774 86367 175776  4  2 59 35  0
 1 39 205072 223490960  32096 33483516    0    0 258032 204576 89716 184700  5  2 59 34  0
 0  0 205072 223423808  32096 33482940    0    0 146384 30995 58691 119355  3  1 82 13  0
 0  0 205072 223404592  32096 33482940    0    0 138704  9703 57394 117207  3  1 86 11  0
 4 48 205072 223404224  32096 33482940    0    0 165888 18566 65953 135019  4  1 82 14  0
 6 44 205072 223398768  32096 33482940    0    0 354368 98842 133582 276377  7  3 55 35  0
 6 40 205072 223390448  32096 33482832    0    0 234976 217876 106568 222430  5  2 57 36  0
 2 45 205072 223390112  32228 33482816    0    0 230004 228007 92768 193383  4  2 57 37  0
 3 47 205072 223386528  32244 33483964    0    0 233664 224866 103354 214514  5  2 57 36  0
 1 45 205072 223386464  32244 33483928    0    0 215744 248445 89168 185719  4  2 59 35  0
12 42 205072 223386320  32244 33483948    0    0 225680 226037 101628 211598  5  2 57 35  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0 47 205072 223376688  32244 33485424    0    0 202836 259860 92593 192034  5  2 57 36  0
 2 48 205072 223374672  32252 33485480    0    0 209168 245165 93550 195732  4  1 58 36  0
 0 43 205072 223374736  32252 33485500    0    0 220912 247310 100856 209995  5  2 57 37  0
 1 42 205072 223374752  32252 33485492    0    0 211200 239652 101119 211324  5  2 58 36  0
13 37 205072 223374800  32252 33485332    0    0 208464 244629 95972 200576  5  2 60 34  0
 8 44 205072 223374720  32252 33485316    0    0 214000 246284 95838 198588  5  2 58 36  0
 2 52 205072 223374432  32252 33485300    0    0 224768 235835 99163 207178  5  2 59 35  0
 2 44 205072 223374112  32260 33485256    0    0 202064 260721 92238 191921  5  2 59 34  0
12 34 205072 223374000  32260 33485128    0    0 213984 242282 96431 201195  5  2 59 34  0
 0 47 205072 223374016  32260 33485120    0    0 217808 242909 101783 213546  5  2 58 35  0
 2 52 205072 223373760  32260 33485136    0    0 218224 247108 93853 195468  5  2 58 36  0
 2 55 205072 223373824  32260 33485092    0    0 219072 235223 99661 206689  5  2 58 35  0
 0 49 205072 223373568  32268 33485084    0    0 250928 208849 109495 227483  6  2 57 36  0
 6 49 205072 223373152  32268 33485188    0    0 263104 191265 109063 226880  6  2 58 35  0
 3 47 205072 223373104  32268 33485084    0    0 275296 175641 118427 246427  7  2 56 35  0
 2 49 205072 223372816  32268 33485000    0    0 258048 199755 115515 241138  6  2 56 36  0
 1 41 205072 223372768  32268 33484932    0    0 270336 181779 117666 246757  6  2 56 35  0
