procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2 198160 217875776  30724 33442476    3    4   692  1652    0    0 23  4 69  3  0
 7 46 198160 217408608  31092 33448320    0    0 249105 113572 70894 127482  3  2 74 20  0
 0 47 198160 217136912  31092 33448160    0    0 250864 214731 85620 157538  5  2 59 35  0
10 44 198160 216866592  31092 33448016    0    0 237136 233397 80888 152804  4  2 59 36  0
11 40 198160 216602976  31092 33448016    0    0 243824 223851 81065 154326  4  1 59 35  0
 6 46 198160 216335376  31092 33448000    0    0 243712 219316 88925 163237  4  2 59 35  0
 5 49 198160 216067296  31100 33448000    0    0 253376 213288 83505 164643  5  2 59 35  0
 7 35 198160 215791520  31100 33448000    0    0 255728 209277 89348 181142  5  2 58 35  0
 2 38 198160 215552608  31100 33448000    0    0 231568 241621 90526 185593  5  2 58 35  0
 2 46 198160 215293952  31100 33447960    0    0 233472 231326 92358 190508  5  2 57 36  0
 2 42 198160 215032672  31100 33447960    0    0 249168 215486 94418 194681  6  2 58 35  0
 8 40 198160 214681632  31108 33447960    0    0 322464 133324 123321 254554  7  3 56 34  0
 0 45 198160 214238944  31108 33447960    0    0 417760 34820 174878 362303 10  4 53 33  0
 5 39 198160 213797760  31108 33447960    0    0 407216 44746 165600 343610 10  3 53 33  0
 6 36 198160 213347648  31108 33447960    0    0 419104 30645 181966 378230 11  4 52 32  0
10 34 198160 212927904  31108 33447960    0    0 387296 63145 182615 380095 12  4 52 33  0
 4 38 198160 212483616  31108 33447960    0    0 412112 38669 192252 400998 12  4 51 33  0
 8 40 198160 212050592  31116 33447960    0    0 394864 55402 191588 398709 13  4 51 32  0
 5 32 198160 211608160  31116 33447960    0    0 410912 40139 213770 447478 14  4 50 32  0
 2 41 198160 211177520  31116 33447960    0    0 389248 61096 216266 450995 15  4 49 32  0
14 32 198160 210744512  31116 33447960    0    0 395984 53135 228642 477456 15  5 48 32  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13 34 198160 210249616  31116 33449176    0    0 408000 37891 248743 517153 18  5 46 32  0
10 27 198160 209806688  31124 33449180    0    0 404640 41495 244607 510925 17  5 46 32  0
12 25 198160 209373440  31124 33449180    0    0 401376 46106 246715 515295 18  5 45 32  0
16 36 198160 208932480  31124 33449180    0    0 401136 46719 257027 539558 17  5 45 32  0
19 26 198160 208507536  31124 33449180    0    0 389040 55799 279571 588744 19  6 43 32  0
17 24 198160 208069824  31124 33449180    0    0 399200 47424 293792 617143 20  6 41 32  0
21 20 198160 207650576  31124 33449180    0    0 381680 60656 287913 607615 21  5 41 33  0
18 23 198160 207221904  31132 33449180    0    0 397120 45061 303574 639428 22  7 40 32  0
17 30 198160 206782944  31132 33449180    0    0 398672 41514 315447 664319 22  7 39 32  0
 5 37 198160 206356144  31132 33449180    0    0 393024 45868 338426 714261 24  7 37 32  0
27 23 198160 205934656  31132 33449180    0    0 382992 54112 328574 691104 23  7 38 32  0
23 29 198160 205512672  31132 33449068    0    0 386480 48850 349866 738166 26  7 36 31  0
22 17 198160 205169072  31140 33449076    0    0 302704 140501 284546 601220 20  6 42 32  0
35 13 198160 204821696  31140 33448996    0    0 316112 121067 308603 653161 22  7 40 32  0
20 18 198160 204479584  31140 33448996    0    0 316528 121195 319561 678114 23  6 41 30  0
22 25 198160 204137712  31140 33449024    0    0 312176 125724 316906 671412 22  6 40 31  0
28 23 198160 203798176  31140 33448928    0    0 312672 121822 322803 686334 24  7 40 30  0
18 20 198160 203464880  31148 33448872    0    0 309072 125802 334028 709349 24  7 39 30  0
26 20 198160 203116816  31148 33448864    0    0 321232 109937 345201 736220 25  7 40 28  0
36 14 198160 202797200  31148 33448808    0    0 295104 138448 337586 718993 25  7 39 29  0
23 16 198160 202516480  31148 33448820    0    0 257808 184648 287827 613724 21  6 50 23  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
31 19 198160 202191104  31148 33448832    0    0 306768 122715 361222 769461 27  8 38 27  0
33 15 198160 201858000  31148 33448880    0    0 306944 122658 359936 768231 27  8 38 27  0
28 21 198160 201535200  31156 33448916    0    0 302752 127161 364033 778697 27  8 37 28  0
30 22 198160 201211712  31156 33448924    0    0 296736 134569 347910 743488 26  8 39 28  0
19 21 198160 200883984  31156 33448896    0    0 307040 115883 376889 808128 29  8 36 27  0
16 24 198160 200548352  31156 33448792    0    0 313264 110889 387666 827865 30  9 36 25  0
36 14 198160 200224048  31156 33448624    0    0 303872 118776 404984 821271 29  8 37 26  0
25 13 198160 199897664  31164 33448672    0    0 305952 114539 398861 840477 30  8 36 26  0
27 20 198160 199570592  31168 33448760    0    0 304292 119426 377500 808535 29  8 36 26  0
34 18 198160 199248080  31168 33448776    0    0 302240 114470 399981 862197 30  9 35 26  0
33 15 198160 198914288  31168 33449384    0    0 303824 114993 401501 861802 32  9 36 24  0
29 21 198160 198610544  31168 33448136    0    0 292576 126037 396736 854952 31  9 36 25  0
35 10 198160 198276976  31168 33448136    0    0 308240 109909 396156 852293 30  9 35 25  0
28 17 198160 197963360  31176 33448164    0    0 301712 112280 412730 895435 32  9 36 23  0
26 16 198160 197643184  31176 33448124    0    0 302528 111303 418795 905832 33 10 34 24  0
22 12 198160 197316048  31176 33448136    0    0 305984 107411 419496 909041 34  9 34 23  0
32 15 198160 196996624  31176 33448156    0    0 301504 109847 424277 919703 34  9 35 22  0
30 10 198160 196676592  31176 33448104    0    0 302000 112175 411465 893426 33  9 34 24  0
23 19 198160 196359792  31184 33448116    0    0 299008 112444 426048 923506 34  9 34 23  0
30 13 198160 196038944  31184 33448040    0    0 305664 103468 427469 928260 34 10 33 23  0
20 21 198160 195713056  31184 33448056    0    0 305456 103764 433216 941773 36 10 33 22  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
26 15 198160 195420784  31184 33448028    0    0 277040 134424 410249 896310 33  9 36 22  0
 2  8 198160 195166976  31184 33447968    0    0 237232 185572 349545 764352 28  8 46 18  0
35 14 198160 194882400  31192 33447816    0    0 275072 137469 397577 867452 32  9 37 22  0
26 19 198160 194581808  31192 33447844    0    0 281872 130583 404552 876088 32  9 37 23  0
24 17 198160 194288304  31192 33447852    0    0 280032 130693 404573 886700 34  9 35 22  0
42 11 198160 193988096  31192 33447864    0    0 286432 122847 410928 898314 33  9 36 21  0
32 17 198160 193685648  31192 33447872    0    0 284800 123111 415074 911281 34 10 35 21  0
35 16 198160 193388304  31200 33447876    0    0 282944 126564 412168 907689 33  9 35 22  0
32 15 198160 193099264  31200 33447752    0    0 271824 134908 410235 902344 34  9 37 20  0
25 17 198160 192815312  31200 33447764    0    0 271584 135689 403400 883060 34  9 36 21  0
42 13 198160 192524640  31200 33447772    0    0 274704 124754 427658 951742 37 10 34 19  0
28 11 198160 192233376  31200 33447792    0    0 274480 128502 416570 925994 36 10 36 19  0
30 19 198160 191943104  31200 33447812    0    0 278976 124022 426751 945730 36 10 35 19  0
28 17 198160 191653056  31208 33447812    0    0 274656 128453 421678 935545 36 10 34 20  0
39 11 198160 191373312  31208 33447752    0    0 268528 135574 415375 919857 35 10 36 19  0
41 14 198160 191081184  31208 33447756    0    0 276944 124839 427738 947837 36 10 34 20  0
29 15 198160 190794240  31208 33447756    0    0 273728 128670 422665 935735 35 10 35 20  0
28 15 198160 190508288  31208 33447792   32    0 271524 127680 432819 967045 37 10 34 19  0
38 14 198160 190212896  31220 33447800    0    0 274640 124257 423773 950939 37 10 35 18  0
26 15 198160 189930304  31220 33447808    0    0 269888 129365 427770 966547 38 10 34 18  0
41 11 198160 189644608  31220 33447800    0    0 271552 125259 430097 960453 37 10 35 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
37 16 198160 189360320  31220 33447880    0    0 269920 125551 426789 954573 37 10 35 17  0
38 14 198160 189084304  31220 33447864    0    0 262832 136828 413180 928011 36 10 36 19  0
49  8 198160 188860224  31228 33447880    0    0 217792 195540 354244 795347 32  8 42 18  0
37  7 198160 188574400  31228 33447880    0    0 269632 124978 424040 953061 38 10 34 18  0
44 10 198160 188291680  31228 33447880    0    0 272736 125680 432609 970270 38 11 33 18  0
43 10 198160 188007248  31228 33447840    0    0 266048 129286 427494 960309 38 10 35 17  0
35  9 198160 187732960  31228 33447840    0    0 266320 125707 431714 973870 38 11 35 17  0
34 16 198160 187456704  31228 33447824    0    0 262064 130169 433965 976743 38 11 32 19  0
36 11 198160 187182784  31236 33447828    0    0 264096 130553 429480 961252 39 10 34 17  0
34 10 198160 186912944  31236 33447752    0    0 251552 148029 410181 930234 37 10 36 17  0
41 10 198160 186650272  31236 33447596    0    0 255616 135960 419080 957891 38 10 35 17  0
45 11 198160 186384048  31236 33447596    0    0 251312 139668 415532 960882 38 11 35 16  0
31 15 198160 186116496  31236 33447592    0    0 255824 136311 423009 970757 38 11 34 16  0
36 13 198160 185852864  31244 33447592    0    0 249952 139832 418052 976352 39 11 33 16  0
 4 36 198160 185590608  31244 33447596    0    0 250864 139047 419697 969224 38 11 36 15  0
40 10 198160 185327360  31244 33447604    0    0 250512 138062 413382 957775 38 10 36 15  0
34 12 198160 185068432  31244 33447632    0    0 248144 137156 418641 978408 40 11 34 15  0
52  9 198160 184813088  31244 33447672    0    0 242896 144646 411131 966318 39 11 35 16  0
43  5 198160 184555680  31244 33447664    0    0 247552 137098 412991 967594 40 10 34 16  0
32 14 198160 184293536  31252 33447796    0    0 248704 137030 422727 989164 40 11 33 16  0
32 12 198160 184038336  31252 33447812    0    0 242992 141573 414157 983682 40 11 34 15  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
23 16 198160 183778272  31252 33447892    0    0 245600 141350 409785 946805 39 10 37 15  0
14 16 198160 183527312  31252 33448004    0    0 239408 147043 412097 965383 39 11 33 16  0
41  8 198160 183312800  31252 33448056    0    0 206416 190325 351027 843764 35  9 41 15  0
35 15 198160 183065424  31260 33448040    0    0 235856 143236 407964 991826 42 11 33 14  0
45 10 198160 182820880  31260 33447900    0    0 235072 142311 408232 979584 41 11 33 15  0
32 12 198160 182567792  31260 33447900    0    0 239184 138830 413994 988820 41 11 34 14  0
41  6 198160 182320640  31260 33447944    0    0 237280 139010 409993 984409 41 11 33 15  0
46  5 198160 182071024  31260 33447892    0    0 237648 138426 398786 974162 41 11 33 15  0
54  6 198160 181823072  31268 33446572    0    0 234432 138630 391572 969441 41 11 33 15  0
43  7 198160 181577984  31268 33446692    0    0 234304 138758 414421 1012093 42 11 33 14  0
37  9 198160 181329456  31268 33446684    0    0 236912 139112 405940 993172 42 11 34 14  0
47 12 198160 181083520  31408 33446620    0    0 232480 139212 404895 983282 41 11 33 15  0
29 14 198160 180844432  31680 33447048    0    0 229284 143060 404633 993107 42 11 33 14  0
51  6 198160 180601360  31680 33447088    0    0 229184 146511 402573 981761 41 11 34 15  0
19 20 198160 180365136  31688 33447040    0    0 228752 147178 407563 994350 41 11 33 15  0
25 21 198160 180126416  31688 33447068    0    0 225776 144419 399504 994383 43 11 32 14  0
45 12 198160 179884928  31696 33446952    0    0 229672 139994 407670 1007122 43 12 33 13  0
18  5 198160 179647216  31696 33446904    0    0 227088 144011 403606 1002770 43 11 31 15  0
44 11 198160 179409264  31696 33446904    0    0 222880 147213 400615 996736 42 11 33 13  0
43  8 198160 179184592  31704 33446892    0    0 212736 159349 386997 966785 41 11 34 14  0
65  7 198160 178954432  31704 33446908    0    0 218832 154134 395181 988532 42 11 34 13  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
44  7 198160 178724352  31704 33446988    0    0 215792 151275 396819 1002608 43 11 33 13  0
42 11 198160 178494976  31704 33447016    0    0 218128 147422 383776 969562 42 11 34 13  0
